repo_url,repo_slug,repo_dir,scan_status,figure_code_files,figure_image_files,copied_assets,lfs_pointers,notes,last_scanned
https://github.com/AlexandrovLab/SigProfilerExtractor,AlexandrovLab__SigProfilerExtractor,data/github_repos/AlexandrovLab__SigProfilerExtractor,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:41.947868Z
https://github.com/AnaG-R/Visuomotor-model-SC,AnaG-R__Visuomotor-model-SC,data/github_repos/AnaG-R__Visuomotor-model-SC,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:42.440185Z
https://github.com/AndreaGuarracino/paf2chain,AndreaGuarracino__paf2chain,data/github_repos/AndreaGuarracino__paf2chain,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:42.692294Z
https://github.com/Andrew-Pannone/Chemosensing,Andrew-Pannone__Chemosensing,data/github_repos/Andrew-Pannone__Chemosensing,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:42.874844Z
https://github.com/AstraZeneca-NGS/VarDictJava,AstraZeneca-NGS__VarDictJava,data/github_repos/AstraZeneca-NGS__VarDictJava,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:42.995449Z
https://github.com/AtmoLib/chemcat,AtmoLib__chemcat,data/github_repos/AtmoLib__chemcat,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:43.061267Z
https://github.com/BDI-pathogens/LocalCovidTracker,BDI-pathogens__LocalCovidTracker,data/github_repos/BDI-pathogens__LocalCovidTracker,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:43.499852Z
https://github.com/BVDElab/Tumour_immune_rejection,BVDElab__Tumour_immune_rejection,data/github_repos/BVDElab__Tumour_immune_rejection,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:44.131531Z
https://github.com/AlexandrovLab/TMB_plotter,AlexandrovLab__TMB_plotter,data/github_repos/AlexandrovLab__TMB_plotter,ok,TMB_plotter.py,plots/E1_default.png; plots/E1_descend.png; plots/E1_mean.png; plots/E2_adapt.png; plots/E2_cancer.png; plots/E2_custome.png; plots/E3_cutoff.png,8,0,,2026-03-17T12:42:44.338611Z
https://github.com/Boyle-Lab/Blacklist,Boyle-Lab__Blacklist,data/github_repos/Boyle-Lab__Blacklist,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:44.599681Z
https://github.com/AlexEMG/DeepLabCut,AlexEMG__DeepLabCut,data/github_repos/AlexEMG__DeepLabCut,ok,deeplabcut/core/config.py; deeplabcut/pose_estimation_3d/plotting3D.py; deeplabcut/pose_estimation_pytorch/apis/prune_paf_graph.py; deeplabcut/pose_estimation_pytorch/config/__init__.py; deeplabcut/pose_estimation_pytorch/config/make_pose_config.py; deeplabcut/pose_estimation_pytorch/config/utils.py; deeplabcut/pose_estimation_pytorch/modelzoo/config.py; deeplabcut/pose_estimation_tensorflow/config.py; deeplabcut/pose_estimation_tensorflow/default_config.py; deeplabcut/pose_tracking_pytorch/config/__init__.py; deeplabcut/utils/plotting.py; tests/create_project/test_video_set_configuration.py; tests/pose_estimation_pytorch/config/test_config_utils.py; tests/pose_estimation_pytorch/config/test_make_pose_config.py,,14,0,,2026-03-17T12:42:44.781266Z
https://github.com/AlexisDEarl/reciprocity_and_nepotism_in_superb_starlings,AlexisDEarl__reciprocity_and_nepotism_in_superb_starlings,data/github_repos/AlexisDEarl__reciprocity_and_nepotism_in_superb_starlings,ok,code/06_plot_models_kinship_reciprocal-help.R; code/09_plot_power_analysis.R,results/Figure 1.pdf; results/Figure 2.pdf; results/Figure 3.pdf; results/Figure 4.pdf; results/Figure 5.pdf; results/Figure 6.pdf; results/Figure S2.pdf; results/Figure S3.pdf; results/Figure S4.pdf; results/Figure S5.pdf; results/Figure S6.pdf,13,0,,2026-03-17T12:42:44.811819Z
https://github.com/Brody-Lab/findr,Brody-Lab__findr,data/github_repos/Brody-Lab__findr,ok,notebooks/plot_example_vector_fields.ipynb,,1,0,,2026-03-17T12:42:45.745562Z
https://github.com/Brody-Lab/tzl_spglm,Brody-Lab__tzl_spglm,data/github_repos/Brody-Lab__tzl_spglm,ok,,example/analysis_2024_04_25b_externalinput/plotbasisset.svg,1,0,,2026-03-17T12:42:45.790989Z
https://github.com/Brody-Lab/fhmddm,Brody-Lab__fhmddm,data/github_repos/Brody-Lab__fhmddm,ok,src/+FHMDDM/load_and_plot_psychometric.m; src/+FHMDDM/plot_peth.m; src/+FHMDDM/plot_pethset.m; src/+FHMDDM/plot_psychometric.m; src/+FHMDDM/shadeplot.m,,5,0,,2026-03-17T12:42:45.815210Z
https://github.com/BrodyFoy/setpoint_calculation,BrodyFoy__setpoint_calculation,data/github_repos/BrodyFoy__setpoint_calculation,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:45.911655Z
https://github.com/CAVEconnectome/MeshParty,CAVEconnectome__MeshParty,data/github_repos/CAVEconnectome__MeshParty,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:45.949584Z
https://github.com/CAVEconnectome/pcg_skel,CAVEconnectome__pcg_skel,data/github_repos/CAVEconnectome__pcg_skel,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:46.033174Z
https://github.com/CGBio-Lab/Mex-acral-exomes-transcriptomes,CGBio-Lab__Mex-acral-exomes-transcriptomes,data/github_repos/CGBio-Lab__Mex-acral-exomes-transcriptomes,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:46.099913Z
https://github.com/CIERA-Transients/POTPyRI,CIERA-Transients__POTPyRI,data/github_repos/CIERA-Transients__POTPyRI,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:46.200909Z
https://github.com/CSU-BME/pathology_SSL,CSU-BME__pathology_SSL,data/github_repos/CSU-BME__pathology_SSL,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:46.265855Z
https://github.com/Chenglin20170390/Haplotype-diversity,Chenglin20170390__Haplotype-diversity,data/github_repos/Chenglin20170390__Haplotype-diversity,ok,scripts/Designing Ideal potato haplotypes (IPH)/Calculate_hybrids_from_ideal_inbred_lines.py; scripts/Designing Ideal potato haplotypes (IPH)/Design_less_dSNPs_in_two_IPH_lines.py; scripts/Designing Ideal potato haplotypes (IPH)/Design_less_dSVs_in_A_line_IPH.py; scripts/Designing Ideal potato haplotypes (IPH)/Design_less_dSVs_in_E_line_IPH.py,,4,0,,2026-03-17T12:42:47.847253Z
https://github.com/ClimateGlobalChange/tempestextremes,ClimateGlobalChange__tempestextremes,data/github_repos/ClimateGlobalChange__tempestextremes,ok,,analysis/blobmetrics/doc/Framework_figure.pdf,1,0,,2026-03-17T12:42:48.079282Z
